Kedarnath Welfare Trust,"Uttarsisu Bari, Gopal Bagan, Bhagatpara",Alipurduar,kedarnathwelfaretrust@gmail.com,NOT AVAILABLE,96746 53762,03563-266432,"Human Development, Human Rights, Library, Livelihood, Old Aged Welfare, Plantation, Pollution, Population, Poverty, Rural Development, Sanitation, Self Help Groups, Sericulture, Social Awareness, Right To Information, Trafficking Of Women, Training, Tribal Development, Tribal Issues, Urban Development, Water, Wildlife, Women Development/Welfare, Women’S Issues, Youth."
Kamta Cyclone Club,"Kamta, Damda",Purulia,mahato.manohar3@gmail.com,NOT AVAILABLE,97358 81139,,"Awareness Generation, E-Learning, Education, Health, Library."
Kalyani Kreepamoyee Ashram,"Gram Kanchrapara, Rathtala, Kanchrapara",Nadia,kreepamoyee_ashram@yahoo.com,91-33-32451617,91-98834 31102,NOT AVAILABLE,Orphanage & oldage ladise home
Kent Homoeo Research Foundation,Howarh,Howarh,kenthrf@gmail.com,,91-94341 34127,NOT AVAILABLE,Upliftment of homeopathy in India.
Kerala Catholic Social Service Centre,"3, Lenin Sarani",Kolkata,,91-33-22368144,,NOT AVAILABLE,"Child welfare, Grants/Aids, Health, Poverty"
Katwa Radha Madhab Dominion Welfare Society,"Katwa, Circus Maidan Road",Burdwan,abhimanyum14@gmail.com,NOT AVAILABLE,89459 70662,,"Governance, Grants/Aids, Group Promotion, Health, Human Development, Human Rights, Intellectual Property, Irrigation, Labour, Local Self Governance (Panchayati Raj), Mentally Handicapped Persons, Micro-Enterprises, Minorities, Natural Resource Management, Ngo Management, Old Aged Welfare, Orphanage, Peace, Physically Disabled, Plantation, Pollution, Population, Social Awareness, Society And Economy, Sustainable Development, Traditional Activist (Guni) Mobilisation, Right To Information, Trade And Industry Welfare, Waste Management, Water, Wildlife, Women Development/Welfare, Women’S Issues, Youth."
Kedarnath Social Welfare Organisation,"Kedar Villa, 268 Surya Sen Road, Amraboti",Nabapalli,newuduup@gmail.com,,91-91433 56020,NOT AVAILABLE,Help people in earth.
Kestopur Jagorani Foundation,"G1, Ss Heights, 130 Prafullakanan, East Kestopur",Kolkata,jagorani.org@gmail.com,NOT AVAILABLE,"81001 55055, 94332 55725",,"Anti Drug Campaign, Awareness Generation, Child Welfare, Education, Environment, General – Social Welfare, Health, Hiv/Aids, Old Aged Welfare, Orphanage, Plantation, Pollution, Poverty, Social Awareness, Volunteers."
KEERTIKA,"L/C 1, O.D.R.C. Housing Estate",Kolkata,keertikawithu@gmail.com,"91-33-24785617, 91-33-64565433",,NOT AVAILABLE,"Women and child rights, legal awareness camps and trainings"
Khajurdaha Nabankur United Club,"Khajurdaha, Khajurdaha",Hooghly,knuc@satyam.net.in,"91-3213-30231, 91-3213-30231",,NOT AVAILABLE,"Child welfare, Disadvantaged communities, Education, Grants/Aids, Health, Human Rights, Population, Poverty, Rural Development, Sanitation, Sustainable Development, Training, Urban Development, Water, Women’s issues"
Kestopur Hope Foundation,"BD-3, Rabindrapally, Ashirbad Building, Kestopur, Prafulla Kanan",Kolkata,bspnk@yahoo.co.in,91-33-25811541,91-99037 46104,NOT AVAILABLE,Health & social justice/defence
Khanpur Azad Gram Unnayan Samiti,"Khanpur Goalpara, Chanchal",Malda,kagus_ngo@rediffmail.com,NOT AVAILABLE,99336 41799,03513-252058,Social Work.
Khalseuli Rural Development Foundation,"Khalseuli, Paschim Medinipur",Paschim Medinipur,krdfoundation@yahoo.com,,91-94331 69455,NOT AVAILABLE,"Ngo activity, rural development, funding."
Khanpur Tarun Charitable Dispensary,"Khanpur, Goalpara",Malda,india_org.com@radiffmail.com,,91-99323 95936,NOT AVAILABLE,Health & rural development.
Khagra Development Action Forum,"19, D.B. Sanyal Lane",Murshidabad,kdaf@in.com,91-3482-258419,,NOT AVAILABLE,Funding grant in aid.
Khanrapara Rural Social Welfare Society,NOT AVAILABLE,South 24 Parganas,ujjwal.maity04@gmail.com,,"91-70984 69347, 91-77972 69881",NOT AVAILABLE,"Community Development, Sustainable Development, Agriculture."
Khadi Pratisthan,"15, College Square",Kolkata,,"91-33-22416510, 91-33-26730333",,NOT AVAILABLE,"Aged, Agriculture, Employment, Environment, Health, Rural Development, Training"
Kharagpur Ecodev,"Anjali Apartment, New Town, Kharagpur",Kharagpur,mailecodev@gmail.com,NOT AVAILABLE,94340 08800,,"Awareness Generation, Child Labour, Child Welfare, Climate Change, Community Development, Education, Environment, Forest Management, Livelihood, Self Help Groups, Social Awareness."
KARMYOG,"4, Rainy Park, Kolkata",Kolkata,karmyog@vsnl.com,91-33-24763943,,NOT AVAILABLE,"Art and culture, Child welfare, Education, Employment, Food and Nutrition, Health, Training, Women’s issues"
Khusda Avinandan Club,"Konarpur, Narayan Garh",Paschim Midnapore,akm.cs@rediffmail.com,,91-97355 48984,NOT AVAILABLE,
KHARKUTO,"Bainchbari, Nandigram",Nandigram,kharkuto@yahoo.in,,91-93338 28983,NOT AVAILABLE,"Mass education, mass awareness."
Kirnahar Tarun,"Kirnahar, Birbhum",Birbhum,Samiti.tarun@rediffmail.com,91-3463 267614,,NOT AVAILABLE,Self sufficient rural community.
Kiran Welfare Society,"63/8, Sahid Mangal Pandey Sarani, Barrackpore",North 24 Parganas,ngo.kkws@gmail.com,NOT AVAILABLE,98308 12864,,"Agriculture, Art And Culture, Child Labour, Cultural Issues, General – Social Welfare, Grants Aids, Medical Relief, Old Aged Welfare, Sanitation, Trade And Industry Welfare, Training."
Kenduadihi Indigenous Womens Welfare Association,"Uttarayan Pally 4, Katjuridanga, Kenduadihi",Bakura,kiwwabqa@rediffmail.com,,91-94341 72935,NOT AVAILABLE,To work for socio-cultural value up gradation and spreading of social education among the indigenous
Khushir Diya the Lamp of Happiness,"10 A 41, Wards Institution Street",Kolkata,khushirdiyaamktnl@gmail.com,,"91-98301 66413, 91-98302 70274, 91-98748 89090",NOT AVAILABLE,"Health, child rights."
Kiran Rural Welfare Society,"Sital Kuchi, Cooch Behar",Cooch Behar,sushildasranjitdas@gmail.com,91-3583 263723,,NOT AVAILABLE,Co-oparetion.
Kolkata Foundation,"04-Jan, Alipore Park Road",Kolkata,wizbiz@vsnl.com,"91-33 24799002, 91-33-24795085",,NOT AVAILABLE,"Art and culture, Child welfare, Employment, Training"
Kolkata Kids Trust,"51 Bhairab Dutta Lane, Salkia",Howrah,info@Kolkatakids.org,91-33-26757870,,NOT AVAILABLE,Maternal and child health
Kolkata Mozoomder Foundation,"155/2b, Acharaya Prafulla Chandra Road, 1st Floor",Kolkata,kolkatamozoomderfoundation@gmail.com,NOT AVAILABLE,98365 26902,,Social Work.
Kolkata Green Planet Organisation,"35, P. C. Banerjee Road",South 24 Parganas,d.green.planet@gmail.com,NOT AVAILABLE,92394 04971,,"Fair Trade, Forest Management Biodiversity Conservation."
Kolkata Urban Service,"16, Sudder Street",Kolkata,cus@cal3.vsnl.net.in,91-33-22491730,,NOT AVAILABLE,"Agriculture, Child welfare, Consumer issues, Disadvantaged communities, Disaster management, Economics and Finance, Education, Employment, Energy, Environment, Food and Nutrition, Forestry, Health, Human Rights, Labour, Micro-enterprises, Minorities, Population, Poverty, Rural Development, Sanitation, Science and Technology, Sustainable Development, Training, Urban Development, Water, Women’s issues"
Kolkata Rescue,"85, Collin Street",Kolkata,info@Kolkatarescue.org,91-33-22175675,,NOT AVAILABLE,Health and hope.
Kolkata Vocational Academy,"377/1, Pulin Avenue",Kolkata,kvacademykol@gmail.com,NOT AVAILABLE,98301 70954,033-32412456,"Community Development, Health, Rural Development, Traditional Health Vocational Training Institute."
Kopai Society for Environment Education & Development,"Kamardangal, Nimgaria",Birbhum,infoseed@gmail.com,91-346-228285,91-96145 86212,NOT AVAILABLE,
Kotalipara Development Society,"Santa Near, Noapara, Arabinda Pally Barasat, Kolkata",North 24 Paraganas,kotaliparads@yahoo.in,NOT AVAILABLE,94332 31375,033-25241414,"Agriculture, Awareness Generation, Child Welfare, Community Development, Cow Protection Centre (Goushala), Disadvantaged Communities, Employment, Gender, General – Social Welfare, Grants Aids, Information And Communications Technology, Ngo Management, Old Aged Welfare, Self Help Groups, Social Awareness, Women Development Welfare Seeking Projects In The Related Field."
Kolkata Swasthya Sankalp,"Iran Society, 2 Dr M Ishaque Road, Kyd Street",Kolkata,mails@ksankalp.in,91-33-22273936,91-98303 11739,NOT AVAILABLE,"Low cost dialysis centre, avoidable blindness"
Kotwali Kachimon Educational Society,"Sahajalalpur, Kotwali",Malda,kkeducationalsociety.malda@gmail.com,NOT AVAILABLE,"89722 25350, 75014 88614",03512-267690,"Anti Drug Campaign, Art And Craft, Art And Culture, Awareness Generation, Blindness, Child Labour, Child Rights, Child Welfare, Community Development, Consumer Issues, Cultural Issues, Development (General), Disability, Disaster Management, Distance Learning, Education, Environment, General – Social Welfare, Grants/Aids, Health, Hiv/Aids, Human Development, Infrastructure, Library, Livelihood, Ngo Management, Old Aged Welfare, Orphanage, Physically Disabled, Plantation, Pollution, Population, Rehabilitation, Rural Development, Social Awareness, Training, Tribal Development, Urban Development, Yoga."
Krishnaa Human Initiatives,"Mangolik, 21-A, First Floor, Motijheel Avenue, Dumdum",Dumdum,krishinitiatives@gmail.com,NOT AVAILABLE,94336 76992,033-25602927,"Climate Change, Community Development, Cultural Heritage, Cultural Issues, Environment, Human Development, Information and Communications Technology, Livelihood, Natural Resource Management. Art & Culture, Biotechnology, Children, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Information & Communication Technology, Legal Awareness & Aid, Micro Small & Medium Enterprises, New & Renewable Energy, Rural Development & Poverty Alleviation, Science & Technology, Tribal Affairs, Vocational Training, Water Resources, Women’s Development & Empowerment, Youth Affairs."
Kotwali Dignity,"12 P.K. Bhattacharya Road, Nediarpara",Krishnanagar,mashis27@yahoo.in,,91-94340 56388,NOT AVAILABLE,
Kotulpur Free Career Point,Kotulpur,Bankura,careerguidekotulpur@gmail.com,NOT AVAILABLE,90021 20559,,"Development (General), Distance Learning, Education, General – Social Welfare, Health, Library, Rural Development, Science And Technology, Social Awareness, Traditional Health."
Krishnanagar Highlight Welfare Organization & Education,"Krishnanahar, Khejuri",Contai,khwoe43923@gmail.com,NOT AVAILABLE,97499 68177,,"Agriculture, Child Rights, Education, General – Social Welfare, Governance, Human Rights, Livelihood, Traditional Health, Training."
Krishnapur Daradee,"Krishnapur, Lalgola",Murshidabad,krpdaradee@gmail.com,91-3483-274801,"91-9475 88144, 91-96411 23443",NOT AVAILABLE,
Kolkata Muskan Foundation,"38-A, Second Lane Topsia",Kolkata,kolkatamuskanfoundation@gmail.com,NOT AVAILABLE,"93395 25877, 98836 74618, 97485 76762",,Social Work.
Kumar Ganj Narendra Seva Samiti,"Guskara, Near Municipality Office, Guskara",Burdwan,kns.Samiti@yahoo.com,91-3452-255787,"91-98515 14141, 91-95632 88828, 91-98512 94786",NOT AVAILABLE,"Education, health, NRM, water, women empowerment, child development, rural development, disability."
Krishnadaspur Rural Development Society,"Krishnadaspur, North 24 Parganas",North 24 Parganas,samarjann@yahoo.co.in,,91-98003 36154,NOT AVAILABLE,Social welfare.
Kumarganj Narendra Seva Samiti,"Near Municipality Office, Guskara",Burdwan,kns.Samiti@yahoo.com,91-3452-255787,91-98515 14141,NOT AVAILABLE,"Education, health, NRM, water, women empowerment, child development, rural development, disability."
Kumarchak Nabin Sangha,"Kumarchak, Jafuly Bibichak, Kolaghat, Mecheda",Purba Medinipur,Kumarchaknabinsanghango@gmail.com,NOT AVAILABLE,79082 23678,,"Social Welfare, Hiv/Aids, Information And Communications Technology, Legal Awareness, Library, Natural Resource Management, Ngo Management, Physically Disabled, Rural Development, Self Help Groups, Social Awareness, Waste Management, Women Development/Welfare, Women’S Issues Serving People Cordially."
Krishnapur Centre for Environmental & Rural Advancement,"Nabaneer Apartment, Mahisgote Dhalipara, Krishnapur, Rajarhat New Town",Kolkata,k.cera@yahoo.co.in,,"91-92393 04445, 91-98742 20188, 91-98363 54271, 91-94331 56871",NOT AVAILABLE,Act as a development partner.
Kumbhira Minority Mission,"Kumbhira, Sabdalpur",Malda,kumbhiraminoritymission228@gmail.com,NOT AVAILABLE,95647 03077,03512-254104,"Art And Craft, Art And Culture, Awareness Generation, Child Labour, Child Welfare, Community Development, Consumer Issues, Cultural Issues, Development (General), Education, Employment, Environment, General – Social Welfare, Grants/Aids, Health, Human Development, Human Rights, Labour, Legal Awareness, Library, Minorities, Old Aged Welfare, Sanitation, Self Help Groups, Social Awareness, Training."
Kushda Avinandan Club,"Kushda, Kunarpur, Narayangarh",Paschim Medinipur,das.dipak100@gmail.com,,91-94343 85587,NOT AVAILABLE,"Women empowernment, rural development, micro finance, health, agriculture, education."
Kolkata Nivedita Shakti,"119, Jodhpur Park",Kolkata,niveditashakti@gmail.com,NOT AVAILABLE,93311 82189,033-24728856,"Adolescent Girls Welfare, Awareness Generation, Child Rights, Child Welfare, Corporate Social Responsibility, E-Learning, Education, Employment, Energy, Environment, Gender, Health, Human Rights, Legal Awareness, Ngo Management, Old Aged Welfare, Orphanage, Peace, Pollution, Research, Rural Development, Sanitation, Science And Technology, Social Awareness, Right To Information, Traditional Health, Trafficking Of Women, Training, Waste Management, Women Development/Welfare, Women’S Issues, Youth."
KVSDS – Kautala Vivekananda Social Development Society,"Kautala, South Gangadhar Puir",South 24 Parganas,vsds_001@rediffmail.com,,91-97325 21032,NOT AVAILABLE,
Labpur Jeevan Janakalyan Society,"Dankuni, Mallickpara, Mrigala,",Hooghly,ljjsociety@gmail.com,NOT AVAILABLE,72784 48166,03212-230888,"Health, Herbal Medicine, Hiv/Aids, Human Development, Irrigation, Labour, Law, Library, Livelihood, Local Administration, Local Self Governance (Panchayati Raj), Rehabilitation, Rural Development, Sanitation, Science And Technology, Self Help Groups, Shelter Home, Social Awareness, Society And Economy, Right To Information, Trade And Industry Welfare, Training, Tribal Development, Tribal Issues, Urban Development, Waste Management, Water, Women Development/Welfare, Women’S Issues, Youth."
Kumarpur Rural Development Society,"Kumar Pur, Baidyapur Shibtala",Burdwan,kumarpurrdsociety@yahoo.com,,91-97321 89352,NOT AVAILABLE,Women empowerment.
LAKSHYA,"3rd Floor, Aradhana Super Market, Naranda, Panskura",Purba Medinipur,prabhat_tannu@yahoo.com,91-3228-239544,91-93869 40460,NOT AVAILABLE,Computer education.
Labanya Society,Singur,Hooghly,labanyasociety@gmail.com,,91-94330 71472,NOT AVAILABLE,"Educational, agricultural, social upliftment."
Lalit Sen Lane Pratibandhi Unayan Samiti,"Beltala Bus Stop, Ransagar, Lalbagh",Murshidabad,anirudhyam@gmail.com,91-348-2271786,91-97352 94506,NOT AVAILABLE,"Education, child development, old age care."
Legal Aid Services,"5, Kiron Shankar Roy Road",Kolkata,lasweb_wb@rediffmail.com & satyadg085@gmail.com,91-33-22879100,,NOT AVAILABLE,"Networkin and liaison-building for non-profit research, documentation and fund raising."
Let Us Care for You,"Netaji Sishu Uddyan,",North 24 Parganas,secretary@lucy.in,,91-94334 86773,NOT AVAILABLE,
LEAD – Learn to Empower & Develop,"Vivekananda Pally, Kadamtala, Matigara",Darjeeling,contact@leadngo.org,91-353-2581413,91-96792 77048,NOT AVAILABLE,Team work
Kopai society,"Kamardangal, Nimgaria, Bolpur Srinkaen",Birbhum,infoseed7@gmail.com,91-3463-235242,,NOT AVAILABLE,Sustainable livelihood.
Kumarganj North Welfare Society,"Kumarganj, Balurghat",Dinajpur,mchandabpcl@gmail.com,NOT AVAILABLE,89726 01596,,"Adolescent Girls Welfare, Art And Culture, Awareness Generation, Child Labour, Child Rights, Child Welfare, Climate Change, Community Development, Cultural Issues, Development (General), Forest Management, Human Development, Human Rights, Old Aged Welfare, Social Awareness, Sustainable Development, Right To Information, Tribal Development Rural Development."
Lok Bikash Sansad,"3, Canal Street, 1st Floor",Kolkata,lokbikash@ymail.com,91-33-23675757,,NOT AVAILABLE,Health projects for rural area.
Lions Club of Thakupukur Youth,"450, M.G. Road, Pragati Pally, Thakurpukur",Kolkata,contact@lctyouth.org,,91-97481 1112,NOT AVAILABLE,Any purpose.
Lokopali Pariwar,"Laxamidanga, Majdia",Nadia,lokopalipariwar@gmail.com,NOT AVAILABLE,97339 05973,03472-275526,"Adolescent Girls Welfare, Advocacy On Social Issues, Anti Drug Campaign, Art And Culture, Awareness Generation, Cancer Patients Help, Child Labour, Child Welfare, Community Development, Consumer Issues, Corporate Social Responsibility, Cultural Issues, Development (General), Disability, Fair Trade, Food And Nutrition, General – Social Welfare, Grants/Aids, Health, Hiv/Aids, Medical Relief, Ngo Management, Physically Disabled, Plantation, Pollution, Rehabilitation, Rural Development, Sanitation, Social Awareness, Tribal Development, Waste Management, Women Development/Welfare Health & Family Welfare."
Lighthouse for the Blind,"174, Shyama Prasad Mukherjee Road",Kolkata,,91-33-24664227,,NOT AVAILABLE,"Disability, Education, Employment"
Lokenath Computer Centre,"Kharija Sonari, Baikunthapur, Kotwali",Coochbehar,bproy12@gmail.com,NOT AVAILABLE,98517 77925,,"Agriculture, Animal Welfare, Corporate Social Responsibility, Education, Environment, General – Social Welfare, Health, Human Development, Information And Communications Technology, Library, Livelihood."
Libra Development Society,"62, Maharaja Tagore Road, Dhakuria",Kolkata,libra.ngo@gmail.com,,91-98740 40197,NOT AVAILABLE,"Education, woman empowerment, rural development, old age day care centre etc."
Lutheran World Service (India),"Lutheran World Service (India), 84 Dr. Suresh Sarkar Road",Kolkata,lwsi@vsnl.com,"91-33-2289730, 91-33-22443062",,NOT AVAILABLE,"Agriculture, Child welfare, Disability, Disadvantaged communities, Disaster management, Education, Environment, Food and Nutrition, Forestry, Health, Human Rights, Micro-enterprises, Poverty, Rural Development, Sanitation, Sustainable Development, Training, Tribal issues, Urban Development, Water, Women’s issues"
Lalmati Chetana,"Rangamati, Sadhana Rangamati",Bankura,sintyr@rediffmail.com,91-3241-259024,91-94348 81564,NOT AVAILABLE,"Health, education, enviourment, child development, old age care."
Loreto Day School,"122, A.J.C. Bose Road, Kolkata",Sealdah,,91-33-22463845,,NOT AVAILABLE,"Child welfare, Development(General), Education"
LUCY – Let Us Care for You,"0/1/1, Nilmoni Mitra Street",Kolkata,secretary@lucy.in,,91-94334 86773,NOT AVAILABLE,Resources.
Madhusudanbar Pather Panchali,"Madhusudanbar, Panskura (R.S)",Purba Medinipur,anupam.pk@gmail.com,91-322-8252489,,NOT AVAILABLE,To be united and contribute in someway to make better society.
Life Saving Society of India,"80/1/2,",Kolkata,rlss_i_east@yahoo.co.in,,,NOT AVAILABLE,We teach people how to save lives.
MAAHASI,"209, Sainik Nagar, Barbaria",Kolkata,maahasi@yahoo.co.in,,91-99581 29958,NOT AVAILABLE,"Old aged, education for poor, food for poor, shelter for poor, aid for poor school children, taking."
MAA,"Kalna Burdwan, Burdwan",Burdwan,maagroup1@gmail.com,,91-91530 51616,NOT AVAILABLE,Rural development.
Magrahat Save Society,"East Belaria, Magrahat",South 24 Pgs,mamunsave@gmail.com,NOT AVAILABLE,91436 56754,,Minorities We Have A Building We Have A Pre- Primary School and Also A Vocational Traning Centre.
Mahamaya Bandhan Samiti,"Mahamaya, Khari, Raidighi",24 Parganas,Kolkatambs@gmail.com,91-3174-262883,,NOT AVAILABLE,
Makaiya Environmental & Rural development Action Society,"Makaiya, Balupur",Malda,arhappy@yahoo.co.in,,91-97341 80066,NOT AVAILABLE,All kind of work.
Madhu Rural Development Society,"Madhu Chowpati, Hasimara",Jalpaiguri,amitkarjee@gmail.com,,91-98324 11662,NOT AVAILABLE,Develop the rural area.
Makdamnagar Health Awareness Social Welfare Society,"Pattelnagar, Md Bazar",Birbhum,mhasws@gmail.com,NOT AVAILABLE,92336 96111,03462-260437,"Human Rights, Social Awareness Health Awareness."
Madhya Kolkata Sanskritik Angan,"6/1 A, Ram Kanai Adhikary Lane",Kolkata,mksa@sify.com,,"91-99030 13617, 91-90383 96174",NOT AVAILABLE,Social & animal welfare.
Malda Medium Club,"Hyderpur, Raja Chowdhury Lane, B.S. Road, Near A.C Institution",Malda,nilaymalda@yahoo.com,,91-94341 97977,NOT AVAILABLE,Promoting voluntary blood donation.
Malda Sahayogita Samiti,SC Road,Malda,mss.malda@gmail.com,NOT AVAILABLE,98515 93454,03512-260916,Social Work
Maligram Swamiji Social Welfare Society,"Maligram, Pingla",Paschim Medinipur,secmssws@gmail.com,"91-3222-241516, 91-3222-241377",,NOT AVAILABLE,
Mallarpur Naisuva,"Mallarpur, Birbhum",Birbhum,mallarpurnaisuva@gmail.com,91-3461-263340,,NOT AVAILABLE,"Education, health, righbased action, consumer awareness etc."
Maladanga Pratidandgi Kalyan Samiti,"Dangalpara Puratanline, Near Masjid",Birbhum,secy253425@bsnl.in,91-3462-25342,91-97321 41395,NOT AVAILABLE,Disability development.
Manab Seva Mission,"Choutara, Railway station Kaikala",Hoogly,manabsevamission@gmail.com,91-3212-243139,91-94335 76364,NOT AVAILABLE,"Education, rural development, old age care, child developmnent."
Maheshpur Minoti Society,Basanti,South 24 Parganas,basantigosaba.mnsl@gmail.com,NOT AVAILABLE,"97751 59366, 90932 52875",03218-232211,"To Acquire, Establish, Start, Aid, Run Maintain Or Manage Primary & Secondary Education For The Local Children.Education For The Benefits Of The Local Student.To Promote And Encourage Advancement Of Education, Vocational Training, free Computer training centre etc for the local poor students."
Manbazar Rishi Arabinda Gram Bikash Kendra,"Manbazar, Purulia",Purulia,secretarymragbk@indiatimes.com,91-6542-220106,91-97351 12371,NOT AVAILABLE,"Education, health, rural development, child development, women empowerment, disability."
Malda Progressive Health Awareness Society,"Gour Road, Mokdumpur",Malda,deepak08samsi@gmail.com,NOT AVAILABLE,91266 65777,,Social Work
Malda Welfare Society,"C/o Gautam Ghosh, Womens College Road",Malda,maldawsociety@gmail.com,91-3512-223226,91-94341 89860,NOT AVAILABLE,Complete development of rural Bengal.
Manjula Ghosh Memorial Rural Development & Social Welfare Organisation,"13 U, Sibapriya Chatterjee Road, 2nd Floor, Sarsuna",Kolkata,parthapghosh@sify.com,,91-98317 02825,NOT AVAILABLE,"For the development of social, financial, educational, physical condition of Indian poor people."
Manglabarey Ideal Adibasi Educational Society,"Manglabarey, Jaigaon",Jalpaiguri,ihdistanceeducation@gmail.com,,91-97359 13744,NOT AVAILABLE,Educational
Mahadebnagar Rural Welfare Society [MRWS],"Mahadebnagar, Farakka, Rural Area",Murshidabad,mrws.farakka@gmail.com,NOT AVAILABLE,97328 07273,,"Awareness Generation, Child Labour, Child Rights, Health, Livelihood, Sanitation, Self Help Groups, Women’S Issues"
Mandir Bazar Young Fightera Club,"Mallick Pur, Mandir Bazar",South 24 Parganas,myfc.ngo@gmail.com,NOT AVAILABLE,99327 74465,,"Agriculture, Awareness Generation, Child Labour, Child Rights, Child Welfare, Community Development, Education, General – Social Welfare, Health, Hiv Aids, Human Development, Human Rights, Legal Awareness, Library, Minorities, Social Awareness, Right To Information, Training, Water, Women Development Welfare, Yoga, Youth."
Manthan the Achievement,"21/3, Dr. A.N. Paul Lane, Bally",Howrah,mant_haqn04@yahoo.co.in,91-33-32496964,91-98313 86491,NOT AVAILABLE,"Child education, health, awareness generation, wild life conservation."
Manoharpur Matrisebak Sangha,"Manoharpur, Garh Manoharpur",Paschim Medinipur,Matrisebak@gmail.com,91-3229-250341,,NOT AVAILABLE,Chariatable and social welfare.
MANTRA,"19/2- B, Selimpur Road",Kolkata,mail_to_mantra@yahoo.com,91-33-24734434,,NOT AVAILABLE,Mainstreaming grassroots level initiatives into macro planning.
MAndhra Lions Club,"Saradapally, Baghmundi",Purulia,mandua@sancharnet.in,"91-3252-250335, 91-3252-250381",,NOT AVAILABLE,"Basic education, basic health, basic amenities and child rights."
Mankanali Netaji Subhas Social Welfare Society,Mankanali,Bankura,jayanta07.pal@gmail.com,NOT AVAILABLE,98009 37610,03242-314628,"Awareness Generation, Ayurveda, Community Development, Environment, General – Social Welfare, Health, Infrastructure, Library, Medical Relief, Minorities, Old Aged Welfare, Plantation, Rural Development, Sanitation, Shelter Home, Social Awareness, Sustainable Development, Tribal Development, Tribal Issues, Women Development/Welfare, Youth All Sorts Of Development Of Community."
MANUSRATAN,"Shanti Niketan, Bolpur",Bolpur,Manusratan@yahoo.in,,91-94342 12906,NOT AVAILABLE,"Acting in the field of micro credit, cultural project for grass root level artist."
Manusher Janya Manush Mancha,"Hariharpur, Mallickpur",Baruipur,pch1965nila@yahoo.com,91-33-24375803,91-94330 75803,NOT AVAILABLE,Help each other
Mass Education,"Mahamayatala, Garia",Kolkata,mass@cal.vsnl.net.in,91-33-24772010,,NOT AVAILABLE,Access of wider contact and funding the project.
Manual Training Institution,"Fansibagan, Ward No. 13, Arambagh",Hooghly,manualtraining@gmail.com,,91-94345-26506,NOT AVAILABLE,"Agriculture, vocational training, pollution, environment, awareness camp, disability, pooverty."
Mathurapur Nivedita Mahilla Samity,Mathurapur,South 24 Parganas,secretary@mnmsindia.org,NOT AVAILABLE,90072 96757,03218-224866,"Child Labour, Child Rights, Child Welfare, Women Development/Welfare."
Matsya Nilaya,Chandannagore,Hooghly,matsyanilaya@gmail.com,NOT AVAILABLE,91430 05171,033-26850107,"Agriculture, Animal Health, Education, Employment, Environment, General – Social Welfare, Human Development, Social Awareness, Training, Water Aquarium Fish Training Cenetr."
Mass Welfare Society,"105, KN Sen Road",Kolkata,samiranIndia@yahoo.co.in,NOT AVAILABLE,93309 51512,033-24417609,Social Work
Matrisama Society,"Uttar Ukil Para, Nr. Shiv Kali Mandir, Baruiur",Kolkata,matrisama.society@gmail.com,,91-94331 67193,NOT AVAILABLE,Improve our villages.
Mattei Group of Mission,"Kakdwip, Naya Para",Naya Para,shakti_pramanik@bsnl.in,91-3210-255433,,NOT AVAILABLE,Promotion of medical education system.
Maya Foundation,"15 B, Adhar Chandra Das Lane",Kolkata,drmganguly@yahoo.com,91-33-23564272,91-98302 47250,NOT AVAILABLE,Mother and child care.
Manovikas Kendra Rehabilitation & Research Institute for the Handicapped,"482, Mududah, I-24, Sec. J, Metropolitan Bypass",Kolkata,mvkendra@cal2.vsnl.net.in,91-33-24423137,,NOT AVAILABLE,Disability
MCCR – Mission for Child Care & Research,"6, Dr. Biresh Guha Street",Kolkata,gsh_kol@rediffmail.com,"91-33-22812789, 91-33-22810200",,NOT AVAILABLE,Health and educational services.
Mayurbhanj Joint Citizen Centre,"39 Mominpore Road, Khidderpore",Kolkata,mjcc01@usa.com,91-33-24495446,,NOT AVAILABLE,"Child welfare, Disadvantaged communities, Education, Environment, Health, Labour, Minorities, Rural Development, Training, Tribal issues, Women’s issues"
Mentaid,"17 A Brojen Mukherjee Road, Behala",Kolkata,mentaid@vsnl.net,91-33-24789510,,NOT AVAILABLE,"Art and culture, Disability, Education, Human Rights, Training"
Memari Software Computer Training Centre,"New Busstand, Memari",Bardhaman,msctrainingcentre@gmail.com,91-342-2251453,,NOT AVAILABLE,Computer and other training.
Mathpalsa Disha Samaj Kalyan Society,"Mathpalsa, Sainthia",Birbhum,amardisha@rediffmail.com,NOT AVAILABLE,92322 14903,,"Child Labour, Education, Employment, Grants/Aids, Health, Information And Communications Technology, Sanitation, Science And Technology, Social Awareness"
Mayurakshi Janakalyan Society,Nabagran Abadanga,Kolkatta,mayurakshi.jksociety@gmail.com,NOT AVAILABLE,97758 07384,03463-203131,"Animal Health, Animal Welfare, Art And Craft, Child Labour, Child Rights, Child Welfare, Climate Change, Consumer Issues, Disadvantaged Communities, Distance Learning, Employment, Gender, Herbal Medicine, Indigenous Knowledge, Library, Natural Resource Management, Population, Women’S Issues."
